state_code,house_unitPrice,lease_unitPrice,center,center_lat,center_lon,cit,dist,vil,restaurant
552226718,717000.0,,"(24.97196447627833, 121.57556719359505)",24.97196447627833,121.57556719359505,台北市,文山區,老泉里,1
552326738,341000.0,,"(24.976486334943115, 121.5786568323529)",24.976486334943115,121.5786568323529,台北市,文山區,指南里,4
552326739,436000.0,,"(24.976486334943115, 121.5832037836341)",24.976486334943115,121.58320378363409,台北市,文山區,指南里,3
552326740,406000.0,,"(24.976486334943115, 121.5877507349153)",24.976486334943115,121.58775073491529,台北市,文山區,指南里,7
552326741,480000.0,,"(24.976486334943115, 121.5922976861965)",24.976486334943115,121.5922976861965,台北市,文山區,指南里,5
552326742,368000.0,870.5,"(24.976486334943115, 121.5968446374777)",24.976486334943115,121.5968446374777,台北市,文山區,政大里,4
552426752,519000.0,,"(24.981008193607902, 121.55696370215156)",24.981008193607906,121.55696370215156,台北市,文山區,樟文里,52
552426754,456000.0,1142.0,"(24.981008193607902, 121.56605122396837)",24.981008193607906,121.56605122396836,台北市,文山區,樟腳里,101
552426755,517000.0,,"(24.981008193607902, 121.57059498487678)",24.981008193607906,121.57059498487679,台北市,文山區,老泉里,61
552426756,399000.0,,"(24.981008193607902, 121.57513874578518)",24.981008193607906,121.57513874578518,台北市,文山區,指南里,78
552426757,496000.0,937.0,"(24.981008193607902, 121.57968250669359)",24.981008193607906,121.57968250669359,台北市,文山區,指南里,24
552426758,439500.0,,"(24.981008193607902, 121.58422626760199)",24.981008193607906,121.584226267602,台北市,文山區,指南里,3
552426759,427500.0,,"(24.981008193607902, 121.58877002851041)",24.981008193607906,121.5887700285104,台北市,文山區,指南里,0
552426760,383000.0,,"(24.981008193607902, 121.59331378941881)",24.981008193607906,121.59331378941879,台北市,文山區,政大里,1
552426761,491500.0,,"(24.981008193607902, 121.59785755032722)",24.981008193607906,121.59785755032722,台北市,文山區,政大里,1
552526768,621000.0,,"(24.985530052272686, 121.54686568959377)",24.98553005227269,121.54686568959377,台北市,文山區,試院里,28
552526770,346000.0,,"(24.985530052272686, 121.55594702517025)",24.98553005227269,121.55594702517023,台北市,文山區,樟林里,48
552526771,397500.0,,"(24.985530052272686, 121.5604876929585)",24.98553005227269,121.5604876929585,台北市,文山區,樟林里,110
552526772,405500.0,1000.0,"(24.985530052272686, 121.56502836074674)",24.98553005227269,121.56502836074672,台北市,文山區,忠順里,143
552526773,469000.0,1023.5,"(24.985530052272686, 121.56956902853499)",24.98553005227269,121.569569028535,台北市,文山區,木新里,103
552526774,472000.0,,"(24.985530052272686, 121.57410969632323)",24.98553005227269,121.57410969632325,台北市,文山區,指南里,105
552526775,460000.0,1000.0,"(24.985530052272686, 121.57865036411147)",24.98553005227269,121.57865036411148,台北市,文山區,萬興里,66
552526776,437500.0,1200.0,"(24.985530052272686, 121.58319103189972)",24.98553005227269,121.58319103189972,台北市,文山區,政大里,7
552526777,418000.0,1068.0,"(24.985530052272686, 121.58773169968796)",24.98553005227269,121.58773169968796,台北市,文山區,指南里,0
552526778,414000.0,1108.5,"(24.985530052272686, 121.5922723674762)",24.98553005227269,121.5922723674762,台北市,文山區,政大里,0
552526779,454500.0,916.0,"(24.985530052272686, 121.59681303526445)",24.98553005227269,121.59681303526443,台北市,文山區,政大里,0
552626784,442500.0,921.0,"(24.99005191093747, 121.53926485947247)",24.990051910937467,121.53926485947248,台北市,文山區,景美里,199
552626785,428000.0,877.0,"(24.99005191093747, 121.54380253106834)",24.990051910937467,121.54380253106834,台北市,文山區,景東里,247
552626786,459500.0,1111.0,"(24.99005191093747, 121.5483402026642)",24.990051910937467,121.5483402026642,台北市,文山區,華興里,60
552626787,412500.0,941.0,"(24.99005191093747, 121.55287787426008)",24.990051910937467,121.55287787426008,台北市,文山區,華興里,24
552626788,538000.0,1250.0,"(24.99005191093747, 121.55741554585593)",24.990051910937467,121.55741554585592,台北市,文山區,華興里,51
552626789,581000.0,1303.5,"(24.99005191093747, 121.5619532174518)",24.990051910937467,121.5619532174518,台北市,文山區,明興里,114
552626790,401000.0,851.0,"(24.99005191093747, 121.56649088904767)",24.990051910937467,121.56649088904769,台北市,文山區,木柵里,99
552626791,487000.0,1428.0,"(24.99005191093747, 121.57102856064354)",24.990051910937467,121.57102856064354,台北市,文山區,木新里,107
552626792,464000.0,,"(24.99005191093747, 121.5755662322394)",24.990051910937467,121.5755662322394,台北市,文山區,萬興里,102
552626793,511000.0,1187.0,"(24.99005191093747, 121.58010390383527)",24.990051910937467,121.58010390383528,台北市,文山區,政大里,43
552626794,546500.0,1162.5,"(24.99005191093747, 121.58464157543114)",24.990051910937467,121.58464157543114,台北市,文山區,政大里,1
552626795,377000.0,,"(24.99005191093747, 121.589179247027)",24.990051910937467,121.58917924702699,台北市,文山區,政大里,0
552626796,418000.0,1250.0,"(24.99005191093747, 121.59371691862286)",24.990051910937467,121.59371691862286,台北市,文山區,政大里,0
552626797,462000.0,,"(24.99005191093747, 121.59825459021873)",24.990051910937467,121.59825459021872,台北市,文山區,政大里,0
552626798,425000.0,862.0,"(24.99005191093747, 121.6027922618146)",24.990051910937467,121.6027922618146,台北市,文山區,政大里,0
552726801,429000.0,1200.0,"(24.99457376960226, 121.53869221668808)",24.994573769602262,121.53869221668808,台北市,文山區,景慶里,235
552726802,548000.0,961.0,"(24.99457376960226, 121.54322698870519)",24.994573769602262,121.5432269887052,台北市,文山區,景華里,284
552726803,435000.0,,"(24.99457376960226, 121.54776176072231)",24.994573769602262,121.54776176072231,台北市,文山區,景東里,106
