area,village,median,lat,lon,state_code
萬華區,糖󿾴里,586,25.0340851,121.4948878,553626918
萬華區,西門里,637,25.0426846,121.5034543,553826941
萬華區,仁德里,662,25.0383695,121.504882,553726931
萬華區,新起里,623,25.040687,121.5063096,553726937
萬華區,日善里,590,25.0281079,121.4977433,553426902
萬華區,菜園里,609,25.0423647,121.4991711,553826940
萬華區,頂碩里,585,25.0310814,121.5020266,553526911
萬華區,福音里,588,25.0377941,121.5030973,553726929
萬華區,華中里,588,25.0153516,121.492746,553226862
萬華區,青山里,556,25.0387205,121.4977433,553726930
萬華區,新和里,648,25.0277574,121.504882,553426902
萬華區,新安里,546,25.0271017,121.5020266,553426900
萬華區,富民里,577,25.0380496,121.5005988,553726929
萬華區,富福里,605,25.0340699,121.5005988,553626919
萬華區,綠堤里,527,25.0307759,121.4920321,553526908
萬華區,忠貞里,546,25.0246964,121.5023835,553426893
萬華區,日祥里,585,25.018807,121.5034543,553226876
萬華區,忠德里,550,25.0257099,121.4952447,553426894
萬華區,孝德里,572,25.0232242,121.4945308,553326887
萬華區,保德里,603,25.0227213,121.4966725,553326886
萬華區,全德里,639,25.0242082,121.4988142,553426891
萬華區,興德里,583,25.016664,121.4984572,553226868
萬華區,壽德里,617,25.0230419,121.5009558,553326888
萬華區,凌霄里,567,25.0255523,121.5079157,553426897
萬華區,和平里,549,25.0321531,121.4954643,553526913
萬華區,騰雲里,584,25.0221159,121.5063096,553326886
萬華區,榮德里,549,25.0192514,121.4916751,553226874
萬華區,福星里,618,25.0473193,121.5063096,553926953
萬華區,和德里,524,25.0258046,121.4906043,553426894
萬華區,萬壽里,637,25.045002,121.504882,553826947
萬華區,銘德里,572,25.0210738,121.4923891,553326880
萬華區,華江里,554,25.0326129,121.4870345,553526912
萬華區,錦德里,554,25.025134,121.4934599,553426892
萬華區,新忠里,580,25.0291716,121.5030973,553526906
大同區,建泰里,673,25.052256,121.5191579,554026967
大同區,建明里,601,25.050275,121.5163029,553926962
大同區,雙連里,614,25.0592235,121.5177304,554126981
大同區,建功里,633,25.0525205,121.5138046,554026966
大同區,景星里,542,25.0642271,121.5077373,554226989
大同區,星明里,675,25.0555803,121.5163029,554026973
大同區,朝陽里,636,25.0548458,121.512377,554026971
大同區,大有里,586,25.0585857,121.5091649,554126978
大同區,斯文里,568,25.0671813,121.5177304,554326996
大同區,揚雅里,586,25.0674376,121.5152322,554326996
大同區,國順里,520,25.067207,121.508858,554326994
大同區,國慶里,671,25.0671986,121.5120202,554326995
大同區,隆和里,583,25.0645459,121.5120202,554226990
大同區,南芳里,597,25.0622291,121.5105925,554226985
大同區,鄰江里,559,25.0701872,121.5105925,554427000
大同區,玉泉里,644,25.050963,121.5077373,553926962
大同區,光能里,609,25.0549087,121.5191579,554026973
大同區,重慶里,675,25.0763061,121.5155891,554527011
大同區,至聖里,586,25.0701698,121.5163029,554427001
大同區,老師里,586,25.0749974,121.5098787,554527007
大同區,蓬萊里,604,25.0648646,121.5163029,554326992
大同區,民權里,709,25.0618761,121.5177304,554226986
大同區,文昌里,498,25.0729074,121.5122432,554427005
大同區,延平里,581,25.058825,121.512377,554126979
大同區,永樂里,641,25.0546065,121.5091649,554026970
大同區,保安里,632,25.0728224,121.5163029,554427005
中山區,聚盛里,563,25.0591177,121.5252246,554126983
中山區,大佳里,552,25.072908,121.5412821,554427011
中山區,恆安里,663,25.0638391,121.5262952,554226992
中山區,集英里,661,25.0638568,121.5205854,554226991
中山區,正守里,711,25.0472525,121.52915,553926958
中山區,正義里,607,25.0505768,121.5262952,553926965
中山區,新生里,596,25.0615049,121.5305774,554226988
中山區,松江里,724,25.0604967,121.5348594,554226987
中山區,江山里,706,25.0591524,121.5405685,554126986
中山區,中山里,615,25.0562177,121.5248678,554126977
中山區,成功里,1118,25.0834768,121.5526993,554727029
中山區,下埤里,696,25.0654466,121.5419957,554326998
中山區,中原里,707,25.0552099,121.52915,554026975
中山區,新庄里,588,25.070293,121.5298637,554427004
中山區,江寧里,763,25.0614684,121.5419957,554226991
中山區,復華里,770,25.053848,121.5405685,554026975
中山區,興亞里,717,25.0495691,121.5305774,553926964
中山區,朱園里,781,25.0485613,121.5348594,553926962
中山區,中央里,696,25.0551921,121.5348594,554026977
中山區,新福里,608,25.0638211,121.5320047,554226993
中山區,中庄里,601,25.0588525,121.5305774,554126983
中山區,康樂里,630,25.0535652,121.5248678,554026971
中山區,行政里,619,25.0644751,121.5348594,554226995
中山區,聚葉里,659,25.0615227,121.5248678,554226987
中山區,正得里,685,25.0499222,121.5234403,553926963
中山區,中吉里,749,25.0545379,121.5320047,554026975
中山區,新喜里,634,25.0664735,121.5320047,554326998
中山區,埤頭里,656,25.0456437,121.5402117,553826957
中山區,大直里,754,25.0874745,121.5469909,554827033
中山區,劍潭里,700,25.0825265,121.5398548,554627025
中山區,力行里,775,25.0498696,121.5405685,553926966
中山區,朱崙里,701,25.0471379,121.539498,553926960
中山區,晴光里,668,25.0658373,121.5234403,554326995
中山區,永安里,981,25.0786876,121.5477044,554627021
中山區,圓山里,611,25.0716373,121.5241541,554427005
中山區,民安里,643,25.0533262,121.521656,554026970
中山區,行孝里,623,25.0667912,121.5362867,554327000
中山區,龍洲里,720,25.0562435,121.5430661,554126981
中山區,行仁里,620,25.064949,121.539327,554326997
中山區,朱馥里,661,25.0568363,121.5391412,554126981
中山區,金泰里,1026,25.0788061,121.5612615,554627025
中山區,北安里,764,25.0879492,121.5534129,554827035
文山區,景美里,759,24.9918523,121.5391412,552626791
文山區,景行里,729,24.9911815,121.5419957,552626789
文山區,景仁里,768,24.9971575,121.5391412,552826811
文山區,萬有里,774,24.999139,121.5419957,552826818
文山區,景慶里,674,24.9945203,121.5334321,552726800
文山區,萬隆里,774,25.0001455,121.537714,552826821
文山區,萬祥里,701,25.002127,121.5405685,552926829
文山區,萬年里,737,25.0084388,121.5362867,553026850
文山區,萬盛里,740,25.0066011,121.5412821,553026844
文山區,萬和里,779,25.0021428,121.5348594,552926828
文山區,興福里,693,24.9968061,121.5462773,552726811
文山區,興得里,684,24.99575,121.555845,552726809
文山區,興豐里,781,25.0011203,121.5448501,552826826
文山區,興旺里,722,25.006191,121.547273,553026844
文山區,興光里,714,25.0000804,121.560548,552826826
文山區,興安里,777,24.9974612,121.5491316,552826814
文山區,興昌里,869,25.0067106,121.560548,553026849
文山區,興泰里,727,25.0067276,121.55484,553026848
文山區,興業里,743,24.9996899,121.5523426,552826823
文山區,景東里,791,24.9928275,121.5462773,552726796
文山區,景華里,729,24.9948247,121.5434229,552726803
文山區,興家里,663,24.9947761,121.560548,552726807
文山區,萬芳里,731,24.9990559,121.5705365,552826824
文山區,木柵里,775,24.9926024,121.5669693,552726800
文山區,博嘉里,749,25.0081244,121.5855176,553026859
文山區,樟腳里,726,24.9817547,121.5637587,552426757
文山區,老泉里,538,24.9750283,121.5683962,552326730
文山區,木新里,635,24.9857961,121.5705365,552526774
文山區,指南里,750,24.9702946,121.5997835,552226716
文山區,華興里,804,24.9901592,121.5519858,552626787
文山區,順興里,657,24.9834962,121.563402,552526764
文山區,萬興里,845,24.9975179,121.5855176,552826822
文山區,明興里,749,24.9904622,121.561975,552626791
文山區,明義里,584,24.98781,121.561975,552626780
文山區,試院里,770,24.9866917,121.5469909,552526773
文山區,樟新里,808,24.9785433,121.556267,552326742
文山區,樟林里,706,24.9848385,121.557694,552526768
文山區,忠順里,820,24.9862281,121.5644722,552526775
文山區,萬美里,758,25.00123,121.5641155,552826831
