district,address,boomTime,lat,lon,state_code
大同區,延平北路2段與涼州街口,105-3-25,25.060562,121.511509,554226982
大同區,南京西路304號,105-4-1,25.0538961,121.5134624,554026969
大同區,庫倫街13巷,105-5-11,25.0723628,121.5173753,554427005
大同區,民樂街95號,105-5-12,25.056527,121.5109828,554126974
大同區,台北橋與台北橋口,105-5-12,25.0637104,121.5065347,554226987
大同區,長安西路275號,105-1-9,25.052185,121.5106447,554026965
大同區,承德路3段249號,105-4-7,25.071402,121.518832,554427004
大同區,延平北路4段229號,105-4-14,25.075325,121.5119147,554527008
大同區,延平北路2段245號,105-4-23,25.0621681,121.511391,554226985
大同區,鄭州路與西寧北路口,105-3-31,25.050385,121.5097864,553926961
大同區,延平北路2段272巷與安西街口,105-4-16,25.0620234,121.5105781,554226985
大同區,重慶北路3段與民族西路口,105-4-22,25.0686418,121.5138172,554326998
大同區,承德路1段與鄭州路口,105-4-27,25.0490476,121.5181099,553926960
大同區,民生西路與環河北路1段口,105-3-10,25.0836033,121.506889,554727019
大同區,涼州街與安西街口,105-3-15,25.0608909,121.5148694,554226984
大同區,重慶北路3段與民族西路口,105-3-14,25.0686418,121.5138172,554326998
大同區,南京西路123號,105-4-6,25.0541182,121.5150598,554026970
大同區,民生西路與延平北路2段口,105-4-5,25.056957,121.5115836,554126975
大同區,承德路1段22號,105-3-5,25.0633359,121.518582,554226989
大同區,鄭州路與西寧北路口,105-3-8,25.050385,121.5097864,553926961
大同區,延平北路1段與南京西路口,105-3-12,25.0670589,121.511082,554326994
大同區,長安西路與塔城街口,105-3-15,25.050385,121.5097864,553926961
大同區,承德路3段與民權西路口,105-3-18,25.064326,121.5188314,554226991
大同區,承德路2段與錦西街口,105-3-21,25.0602313,121.5187898,554226983
大同區,環河北路1段與涼州街口,105-3-26,25.060505,121.5084812,554226982
大同區,長安西路190號,105-3-28,25.051097,121.515684,553926964
大同區,延平北路4段15號,105-3-31,25.069164,121.511011,554326998
大同區,台北橋,105-4-3,25.0632482,121.5095113,554226987
大同區,延平北路2段61巷,105-4-3,25.0555188,121.5121247,554026972
大同區,重慶北路2段與涼州街口,105-4-4,25.0608909,121.5148694,554226984
大同區,環河北路2段與民族西路口,105-3-7,25.068778,121.5092035,554326997
大同區,環河北路1段與鄭州路口,105-3-11,25.0596283,121.5085172,554126980
大同區,承德路2段與平陽街口,105-4-12,25.0551611,121.5165423,554026973
大同區,鄭州路與塔城街口,105-4-12,25.050385,121.5097864,553926961
大同區,民權西路144巷10弄2號,105-3-13,25.0621229,121.5157498,554226986
大同區,通河西街1段,105-3-24,25.0781899,121.5164546,554527014
大同區,承德路3段與民權西路口,105-3-26,25.064326,121.5188314,554226991
大同區,民族西路與延平北路3段口,105-3-27,25.0677121,121.5110247,554326996
大同區,環河北路1段與涼州街口,105-3-28,25.060505,121.5084812,554226982
大同區,延平北路4段243號,105-3-30,25.0763561,121.5120959,554527010
大同區,延平北路4段15號,105-4-1,25.069164,121.511011,554326998
大同區,民權西路106號,105-4-18,25.0626833,121.5172713,554226988
大同區,民生西路與承德路2段口,105-4-17,25.0550237,121.5180181,554026973
大同區,民權西路144巷,105-3-28,25.0621945,121.5159337,554226987
大同區,延平北路1段92號,105-4-1,25.0524347,121.5117387,554026966
大同區,市民高架與環河北路1段口,105-4-1,25.0491806,121.5144925,553926959
大同區,承德路3段與民權西路口,105-4-2,25.064326,121.5188314,554226991
大同區,延平北路2段131號,105-4-6,25.0575405,121.5116485,554126976
大同區,民權西路與蘭州街口,105-4-11,25.062889,121.5147047,554226988
大同區,民生西路與萬全街口,105-3-28,25.0578489,121.520473,554126979
大同區,延平北路3段與民族西路口,105-3-25,25.0686588,121.5108572,554326997
大同區,延平北路3段83巷,105-4-9,25.0672467,121.511177,554326995
大同區,民族西路180號,105-3-29,25.068499,121.5149517,554326998
大同區,重慶北路3段與民族西路口,105-3-30,25.0686418,121.5138172,554326998
大同區,環河北路1段與鄭州路口,105-4-9,25.0596283,121.5085172,554126980
大同區,承德路1段與長安西路口,105-4-16,25.0509042,121.5169661,553926963
大同區,民生西路與寧夏路口,105-4-16,25.0569564,121.5156833,554126976
大同區,承德路2段235號,105-4-8,25.0550237,121.5180181,554026973
大同區,民權西路139號,105-4-9,25.0631261,121.51677340000002,554226988
大同區,承德路1段與鄭州路口,105-4-9,25.0490476,121.5181099,553926960
大同區,承德路3段與敦煌路口,105-4-10,25.0707623,121.518518,554427002
大同區,承德路3段17號,105-4-15,25.0638396,121.518544,554226990
大同區,重慶北路2段與蘭州街口,105-4-17,25.06181,121.5136507,554226985
大同區,延平北路4段88號,105-4-19,25.0711575,121.510794,554427001
大同區,民權西路與蘭州街口,105-4-19,25.062889,121.5147047,554226988
大同區,民族西路225巷,105-4-26,25.0694883,121.51226470000002,554426999
大同區,延平北路1段135號,105-4-21,25.0670589,121.511082,554326994
大同區,民生西路171巷,105-4-27,25.0576492,121.5169719,554126978
大同區,重慶北路2段與涼州街口,105-4-28,25.0608909,121.5148694,554226984
大同區,民權西路與蘭州街口,105-4-28,25.062889,121.5147047,554226988
大同區,速道路下民生西路匝道,105-4-30,25.0569879,121.5155683,554126976
大同區,鄭州路與太原路口,105-5-2,25.0493801,121.514592,553926960
大同區,長安西路168號,105-4-29,25.0509798,121.5162184,553926963
大同區,南京西路262巷,105-4-29,25.0534129,121.5151976,554026969
大同區,民生西路171巷與萬全街口,105-4-29,25.0578489,121.520473,554126979
大同區,重慶北路1段73號,105-5-4,25.0523332,121.5142562,554026966
大同區,承德路1段3號,105-4-14,25.0633359,121.518582,554226989
大同區,民族西路187巷,105-4-14,25.0695457,121.5149182,554427000
大同區,延平北路3段與民權西路口,105-4-26,25.0631105,121.5112207,554226987
大同區,忠孝西路2段與塔城街口,105-5-2,25.0476299,121.5127104,553926955
大同區,民權西路225巷,105-5-6,25.0638489,121.5121261,554226989
大同區,市民大道1段,105-5-7,25.048513,121.5186205,553926958
大同區,環河北路1段與民生西路口,105-5-8,25.0568782,121.5082932,554126974
大同區,民權西路118巷,105-5-9,25.0621708,121.5167526,554226987
大同區,大龍街與哈密街口,105-5-1,25.0732069,121.5155395,554427006
大同區,環河北路1段295號,105-5-2,25.059041,121.508909,554126979
大同區,延平北路2段240號,105-5-3,25.059948,121.511292,554126981
大同區,承德路2段與錦西街口,105-5-10,25.0602313,121.5187898,554226983
大同區,寧夏路19-1號,105-5-10,25.0550244,121.51510220000002,554026972
大同區,酒泉街103巷,105-7-19,25.0719954,121.5148835,554427004
大同區,承德路3段143巷,105-8-30,25.0676964,121.5190327,554326997
大同區,重慶北路2段109號,105-1-15,25.057333,121.513914,554126976
大同區,延平北路2段67號,105-1-17,25.0557792,121.5117737,554126973
大同區,民權西路262號,105-2-1,25.062735,121.512169,554226987
大同區,承德路2段與民權西路口,105-2-3,25.0629867,121.5182325,554226989
大同區,重慶北路3段與哈密街口,105-2-4,25.0729873,121.513597,554427005
大同區,大龍街58號,105-2-22,25.0651005,121.5159574,554326992
大同區,2段與延平北路4段179巷口(延平北路4段179巷15號前),105-1-8,25.0736362,121.5122277,554427006
大同區,延平北路1段69巷,105-1-9,25.051413600000004,121.5126668,554026964
大同區,延平北路2段268號,105-1-9,25.054041,121.511629,554026969
大同區,民族西路與大龍街口,105-1-13,25.063097,121.51654,554226988
大同區,重慶北路2段70巷,105-1-25,25.0561152,121.5131374,554126974
大同區,長安西路與南京西路64巷口,105-1-25,25.051730600000006,121.5185192,554026966
大同區,市民高架,105-1-1,25.0491806,121.5144925,553926959
大同區,重慶北路與鄭州路口,105-1-2,25.0785524,121.5143787,554627014
大同區,民生西路與重慶北路口,105-1-11,25.0570027,121.5138475,554126976
大同區,保安街與甘州街口,105-1-12,25.059389000000003,121.5127666,554126980
大同區,台北橋,105-1-16,25.0632482,121.5095113,554226987
大同區,延平北路3段16號,105-1-17,25.063823,121.511058,554226988
大同區,歸綏街238號,105-1-18,25.0580905,121.5092507,554126977
大同區,敦煌路3號,105-1-18,25.075144100000006,121.5210061,554527010
大同區,環河北路1段與鄭州路口,105-2-7,25.0596283,121.5085172,554126980
大同區,忠孝西路1段與塔城街口,105-1-26,25.047725,121.51123,553926955
大同區,重慶北路2段68號,105-1-28,25.056116600000006,121.5137267,554126974
大同區,承德路3段與民族西路口,105-1-1,25.068799,121.51346399999998,554326998
大同區,台北橋,105-1-12,25.0632482,121.5095113,554226987
大同區,下迴轉道,105-1-15,25.0502326,121.5100746,553926960
大同區,大龍街45號,105-1-18,25.064159600000004,121.5160672,554226990
大同區,敦煌路與承德路3段口,105-1-18,25.0751156,121.5202777,554527010
大同區,承德路2段與民權西路口,105-1-20,25.0629867,121.5182325,554226989
大同區,錦西街42號,105-1-21,25.0602396,121.520253,554226984
大同區,延平北路1段與忠孝西路1段口,105-1-26,25.0467262,121.5156537,553926954
大同區,民權西路與蘭州街口,105-1-29,25.062889,121.5147047,554226988
大同區,承德橋,105-2-3,25.0776942,121.521069,554527014
大同區,延平北路與長安西路口,105-1-12,25.065416,121.5110721,554326991
大同區,承德路2段與平陽街口,105-2-1,25.0551611,121.5165423,554026973
大同區,太原路97巷,105-2-3,25.0520443,121.5166462,554026966
大同區,延平北路2段272巷1號,105-2-4,25.0621681,121.5110933,554226985
大同區,民生西路231號,105-1-7,25.057175,121.5157569,554126977
大同區,南京西路167巷,105-1-7,25.055167,121.5126219,554026972
大同區,環河北路1段93號,105-1-13,25.05317,121.507541,554026966
大同區,承德路1段1號,105-1-28,25.0633359,121.518582,554226989
大同區,保安街3號,105-2-11,25.0593779,121.5139442,554126981
大同區,延平北路2段134號,105-2-23,25.0574245,121.5114432,554126976
大同區,承德路2段與民權西路口,105-2-24,25.0629867,121.5182325,554226989
大同區,民生西路63號,105-2-24,25.0577402,121.5201311,554126979
大同區,重慶北路與長安西路口,105-1-3,25.0515545,121.51377759999998,554026964
大同區,承德路與民權西路口,105-1-10,25.064326,121.5188314,554226991
大同區,承德路3段與庫倫街口,105-1-27,25.0699378,121.5182537,554427001
大同區,哈密街59巷56弄32號,105-1-21,25.0753673,121.514958,554527009
大同區,延平北路1段與南京西路口,105-2-11,25.0670589,121.511082,554326994
大同區,延平北路3段65-1號,105-1-15,25.063516,121.511294,554226988
大同區,民權西路144巷19弄,105-1-17,25.0620233,121.5162535,554226986
大同區,延平北路3段32-1號,105-1-21,25.063516,121.511294,554226988
大同區,民權西路與承德路3段口,105-1-22,25.0638424,121.5181676,554226990
大同區,承德路與長安西路口,105-1-9,25.0507839,121.51679,553926963
大同區,忠孝西路1段與西寧北路口,105-1-28,36.617134,101.778223,809710640
大同區,延平北路1段60號,105-2-1,25.05143,121.511814,554026964
大同區,承德路2段與萬全街口,105-1-4,25.0584518,121.5182755,554126980
大同區,延平北路4段179巷,105-1-16,25.073596,121.5119002,554427006
大同區,長安西路與太原路口,105-1-17,25.0512649,121.5154442,554026964
大同區,南京西路與承德路1段口,105-1-9,25.053328,121.5176323,554026969
大同區,南京西路,105-1-9,25.0539992,121.51329309999998,554026969
大同區,延平北路4段與迪化街2段364巷口,105-1-13,25.062724300000006,121.5113064,554226986
大同區,延平北路3段6號,105-1-14,25.063548,121.511064,554226988
大同區,承德路3段46號,105-1-15,25.0634144,121.5185008,554226989
大同區,重慶北路3段191巷,105-1-16,25.069556,121.5140292,554426999
大同區,路與重慶北路口(長安西路244號前),105-1-26,25.0514968,121.5140234,554026964
