state_code,house_unitPrice,lease_unitPrice,center,center_lat,center_lon,cit,dist,vil,km_x,km_y
552226718,717000.0,,"(24.97196447627833, 121.57556719359505)",24.97196447627833,121.57556719359505,台北市,文山區,老泉里,2761.25,13359.25
552326738,341000.0,,"(24.976486334943115, 121.5786568323529)",24.976486334943115,121.5786568323529,台北市,文山區,指南里,2761.75,13369.25
552326739,436000.0,,"(24.976486334943115, 121.5832037836341)",24.976486334943115,121.5832037836341,台北市,文山區,指南里,2761.75,13369.75
552326740,406000.0,,"(24.976486334943115, 121.5877507349153)",24.976486334943115,121.5877507349153,台北市,文山區,指南里,2761.75,13370.25
552326741,480000.0,,"(24.976486334943115, 121.5922976861965)",24.976486334943115,121.5922976861965,台北市,文山區,指南里,2761.75,13370.75
552326742,368000.0,870.5,"(24.976486334943115, 121.5968446374777)",24.976486334943115,121.5968446374777,台北市,文山區,政大里,2761.75,13371.25
552426752,519000.0,,"(24.981008193607902, 121.55696370215156)",24.981008193607902,121.55696370215156,台北市,文山區,樟文里,2762.25,13376.25
552426754,456000.0,1142.0,"(24.981008193607902, 121.56605122396837)",24.981008193607902,121.56605122396837,台北市,文山區,樟腳里,2762.25,13377.25
552426755,517000.0,,"(24.981008193607902, 121.57059498487678)",24.981008193607902,121.57059498487678,台北市,文山區,老泉里,2762.25,13377.75
552426756,399000.0,,"(24.981008193607902, 121.57513874578518)",24.981008193607902,121.57513874578518,台北市,文山區,指南里,2762.25,13378.25
552426757,496000.0,937.0,"(24.981008193607902, 121.57968250669359)",24.981008193607902,121.57968250669359,台北市,文山區,指南里,2762.25,13378.75
552426758,439500.0,,"(24.981008193607902, 121.58422626760199)",24.981008193607902,121.58422626760199,台北市,文山區,指南里,2762.25,13379.25
552426759,427500.0,,"(24.981008193607902, 121.58877002851041)",24.981008193607902,121.58877002851041,台北市,文山區,指南里,2762.25,13379.75
552426760,383000.0,,"(24.981008193607902, 121.59331378941881)",24.981008193607902,121.59331378941881,台北市,文山區,政大里,2762.25,13380.25
552426761,491500.0,,"(24.981008193607902, 121.59785755032722)",24.981008193607902,121.59785755032722,台北市,文山區,政大里,2762.25,13380.75
552526768,621000.0,,"(24.985530052272686, 121.54686568959377)",24.985530052272686,121.54686568959377,台北市,文山區,試院里,2762.75,13384.25
552526770,346000.0,,"(24.985530052272686, 121.55594702517025)",24.985530052272686,121.55594702517025,台北市,文山區,樟林里,2762.75,13385.25
552526771,397500.0,,"(24.985530052272686, 121.5604876929585)",24.985530052272686,121.5604876929585,台北市,文山區,樟林里,2762.75,13385.75
552526772,405500.0,1000.0,"(24.985530052272686, 121.56502836074674)",24.985530052272686,121.56502836074674,台北市,文山區,忠順里,2762.75,13386.25
552526773,469000.0,1023.5,"(24.985530052272686, 121.56956902853499)",24.985530052272686,121.56956902853499,台北市,文山區,木新里,2762.75,13386.75
552526774,472000.0,,"(24.985530052272686, 121.57410969632323)",24.985530052272686,121.57410969632323,台北市,文山區,指南里,2762.75,13387.25
552526775,460000.0,1000.0,"(24.985530052272686, 121.57865036411147)",24.985530052272686,121.57865036411147,台北市,文山區,萬興里,2762.75,13387.75
552526776,437500.0,1200.0,"(24.985530052272686, 121.58319103189972)",24.985530052272686,121.58319103189972,台北市,文山區,政大里,2762.75,13388.25
552526777,418000.0,1068.0,"(24.985530052272686, 121.58773169968796)",24.985530052272686,121.58773169968796,台北市,文山區,指南里,2762.75,13388.75
552526778,414000.0,1108.5,"(24.985530052272686, 121.5922723674762)",24.985530052272686,121.5922723674762,台北市,文山區,政大里,2762.75,13389.25
552526779,454500.0,916.0,"(24.985530052272686, 121.59681303526445)",24.985530052272686,121.59681303526445,台北市,文山區,政大里,2762.75,13389.75
552626784,442500.0,921.0,"(24.99005191093747, 121.53926485947247)",24.99005191093747,121.53926485947247,台北市,文山區,景美里,2763.25,13392.25
552626785,428000.0,877.0,"(24.99005191093747, 121.54380253106834)",24.99005191093747,121.54380253106834,台北市,文山區,景東里,2763.25,13392.75
552626786,459500.0,1111.0,"(24.99005191093747, 121.5483402026642)",24.99005191093747,121.5483402026642,台北市,文山區,華興里,2763.25,13393.25
552626787,412500.0,941.0,"(24.99005191093747, 121.55287787426008)",24.99005191093747,121.55287787426008,台北市,文山區,華興里,2763.25,13393.75
552626788,538000.0,1250.0,"(24.99005191093747, 121.55741554585593)",24.99005191093747,121.55741554585593,台北市,文山區,華興里,2763.25,13394.25
552626789,581000.0,1303.5,"(24.99005191093747, 121.5619532174518)",24.99005191093747,121.5619532174518,台北市,文山區,明興里,2763.25,13394.75
552626790,401000.0,851.0,"(24.99005191093747, 121.56649088904767)",24.99005191093747,121.56649088904767,台北市,文山區,木柵里,2763.25,13395.25
552626791,487000.0,1428.0,"(24.99005191093747, 121.57102856064354)",24.99005191093747,121.57102856064354,台北市,文山區,木新里,2763.25,13395.75
552626792,464000.0,,"(24.99005191093747, 121.5755662322394)",24.99005191093747,121.5755662322394,台北市,文山區,萬興里,2763.25,13396.25
552626793,511000.0,1187.0,"(24.99005191093747, 121.58010390383527)",24.99005191093747,121.58010390383527,台北市,文山區,政大里,2763.25,13396.75
552626794,546500.0,1162.5,"(24.99005191093747, 121.58464157543114)",24.99005191093747,121.58464157543114,台北市,文山區,政大里,2763.25,13397.25
552626795,377000.0,,"(24.99005191093747, 121.589179247027)",24.99005191093747,121.589179247027,台北市,文山區,政大里,2763.25,13397.75
552626796,418000.0,1250.0,"(24.99005191093747, 121.59371691862286)",24.99005191093747,121.59371691862286,台北市,文山區,政大里,2763.25,13398.25
