state_code,house_unitPrice,lease_unitPrice,center,center_lat,center_lon,cit,dist,vil,master,college,highSchool,secondary,median
552226718,717000.0,1017.75,"(24.97196447627833, 121.57556719359505)",24.97196447627833,121.57556719359505,台北市,文山區,老泉里,0.02158273381294964,0.1606714628297362,0.4856115107913669,0.33213429256594723,538
552426755,517000.0,1017.75,"(24.981008193607902, 121.57059498487678)",24.981008193607906,121.5705949848768,台北市,文山區,老泉里,0.02158273381294964,0.1606714628297362,0.4856115107913669,0.33213429256594723,538
552326738,341000.0,1017.75,"(24.976486334943115, 121.5786568323529)",24.976486334943115,121.5786568323529,台北市,文山區,指南里,0.1398978433598184,0.25056753688989786,0.41316685584563,0.1963677639046538,750
552326739,436000.0,1017.75,"(24.976486334943115, 121.5832037836341)",24.976486334943115,121.58320378363408,台北市,文山區,指南里,0.1398978433598184,0.25056753688989786,0.41316685584563,0.1963677639046538,750
552326740,406000.0,1017.75,"(24.976486334943115, 121.5877507349153)",24.976486334943115,121.58775073491528,台北市,文山區,指南里,0.1398978433598184,0.25056753688989786,0.41316685584563,0.1963677639046538,750
552326741,480000.0,1017.75,"(24.976486334943115, 121.5922976861965)",24.976486334943115,121.5922976861965,台北市,文山區,指南里,0.1398978433598184,0.25056753688989786,0.41316685584563,0.1963677639046538,750
552426756,399000.0,1017.75,"(24.981008193607902, 121.57513874578518)",24.981008193607906,121.57513874578518,台北市,文山區,指南里,0.1398978433598184,0.25056753688989786,0.41316685584563,0.1963677639046538,750
552426757,496000.0,937.0,"(24.981008193607902, 121.57968250669359)",24.981008193607906,121.57968250669359,台北市,文山區,指南里,0.1398978433598184,0.25056753688989786,0.41316685584563,0.1963677639046538,750
552426758,439500.0,1017.75,"(24.981008193607902, 121.58422626760199)",24.981008193607906,121.584226267602,台北市,文山區,指南里,0.1398978433598184,0.25056753688989786,0.41316685584563,0.1963677639046538,750
552426759,427500.0,1017.75,"(24.981008193607902, 121.58877002851041)",24.981008193607906,121.5887700285104,台北市,文山區,指南里,0.1398978433598184,0.25056753688989786,0.41316685584563,0.1963677639046538,750
552526774,472000.0,1017.75,"(24.985530052272686, 121.57410969632323)",24.98553005227269,121.57410969632325,台北市,文山區,指南里,0.1398978433598184,0.25056753688989786,0.41316685584563,0.1963677639046538,750
552526777,418000.0,1068.0,"(24.985530052272686, 121.58773169968796)",24.98553005227269,121.58773169968796,台北市,文山區,指南里,0.1398978433598184,0.25056753688989786,0.41316685584563,0.1963677639046538,750
552326742,368000.0,870.5,"(24.976486334943115, 121.5968446374777)",24.976486334943115,121.5968446374777,台北市,文山區,政大里,0.193039950062422,0.35268414481897625,0.3831148564294632,0.07116104868913857,1215
552426760,383000.0,1017.75,"(24.981008193607902, 121.59331378941881)",24.981008193607906,121.59331378941879,台北市,文山區,政大里,0.193039950062422,0.35268414481897625,0.3831148564294632,0.07116104868913857,1215
552426761,491500.0,1017.75,"(24.981008193607902, 121.59785755032722)",24.981008193607906,121.59785755032722,台北市,文山區,政大里,0.193039950062422,0.35268414481897625,0.3831148564294632,0.07116104868913857,1215
552526776,437500.0,1200.0,"(24.985530052272686, 121.58319103189972)",24.98553005227269,121.58319103189972,台北市,文山區,政大里,0.193039950062422,0.35268414481897625,0.3831148564294632,0.07116104868913857,1215
552526778,414000.0,1108.5,"(24.985530052272686, 121.5922723674762)",24.98553005227269,121.5922723674762,台北市,文山區,政大里,0.193039950062422,0.35268414481897625,0.3831148564294632,0.07116104868913857,1215
552526779,454500.0,916.0,"(24.985530052272686, 121.59681303526445)",24.98553005227269,121.59681303526443,台北市,文山區,政大里,0.193039950062422,0.35268414481897625,0.3831148564294632,0.07116104868913857,1215
552626793,511000.0,1187.0,"(24.99005191093747, 121.58010390383527)",24.990051910937467,121.58010390383528,台北市,文山區,政大里,0.193039950062422,0.35268414481897625,0.3831148564294632,0.07116104868913857,1215
552626794,546500.0,1162.5,"(24.99005191093747, 121.58464157543114)",24.990051910937467,121.58464157543114,台北市,文山區,政大里,0.193039950062422,0.35268414481897625,0.3831148564294632,0.07116104868913857,1215
552626795,377000.0,1017.75,"(24.99005191093747, 121.589179247027)",24.990051910937467,121.58917924702699,台北市,文山區,政大里,0.193039950062422,0.35268414481897625,0.3831148564294632,0.07116104868913857,1215
552626796,418000.0,1250.0,"(24.99005191093747, 121.59371691862286)",24.990051910937467,121.59371691862286,台北市,文山區,政大里,0.193039950062422,0.35268414481897625,0.3831148564294632,0.07116104868913857,1215
552626797,462000.0,1017.75,"(24.99005191093747, 121.59825459021873)",24.990051910937467,121.59825459021872,台北市,文山區,政大里,0.193039950062422,0.35268414481897625,0.3831148564294632,0.07116104868913857,1215
552626798,425000.0,862.0,"(24.99005191093747, 121.6027922618146)",24.990051910937467,121.6027922618146,台北市,文山區,政大里,0.193039950062422,0.35268414481897625,0.3831148564294632,0.07116104868913857,1215
552726814,498000.0,1017.75,"(24.99457376960226, 121.59764425291056)",24.994573769602265,121.59764425291056,台北市,文山區,政大里,0.193039950062422,0.35268414481897625,0.3831148564294632,0.07116104868913857,1215
552426752,519000.0,1017.75,"(24.981008193607902, 121.55696370215156)",24.981008193607906,121.55696370215156,台北市,文山區,樟文里,0.09363228699551568,0.2816143497757848,0.4697757847533632,0.15497757847533633,690
552426754,456000.0,1142.0,"(24.981008193607902, 121.56605122396837)",24.981008193607906,121.56605122396836,台北市,文山區,樟腳里,0.107311320754717,0.2918632075471698,0.43966194968553457,0.1611635220125786,726
